City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,40,CL,1585187951,71,-53.15,-70.92,55.4,17.22
1,Rūjiena,0,LV,1585188143,87,57.9,25.33,32.32,8.84
2,Port Alfred,90,ZA,1585188060,59,-33.59,26.89,64.74,33.4
3,Dikson,100,RU,1585188067,97,73.51,80.55,21.78,22.7
4,Rikitea,100,PF,1585188058,76,-23.12,-134.97,78.84,5.35
5,Hobart,20,AU,1585187882,41,-42.88,147.33,64.0,5.82
6,Ushuaia,40,AR,1585187871,71,-54.8,-68.3,50.0,8.05
7,Busselton,16,AU,1585188120,57,-33.65,115.33,77.36,2.17
8,Monroe,75,US,1585188353,61,43.15,-77.68,48.2,8.05
9,Mataura,95,NZ,1585188063,85,-46.19,168.86,51.17,8.93
10,Port Elizabeth,90,ZA,1585188064,82,-33.92,25.57,60.8,23.04
11,Albany,53,US,1585187849,80,42.6,-73.97,39.99,1.59
12,Puerto Ayora,80,EC,1585188096,86,-0.74,-90.35,78.01,5.01
13,Upernavik,100,GL,1585188086,92,72.79,-56.15,5.99,21.03
14,Castro,55,BR,1585188015,70,-24.79,-50.01,59.11,6.38
15,Arlit,19,NE,1585188121,17,18.74,7.39,71.15,9.71
16,Abu Kamal,0,SY,1585188202,62,34.45,40.92,58.5,6.91
17,Yellowknife,75,CA,1585188086,72,62.46,-114.35,15.8,11.41
18,Vila Franca do Campo,4,PT,1585188206,64,37.72,-25.43,54.9,18.48
19,Hastings,98,GB,1585188147,71,50.86,0.57,39.0,1.99
20,Kapaa,1,US,1585188094,57,22.08,-159.32,78.8,23.04
21,Dauriya,97,RU,1585188408,64,49.93,116.87,17.2,25.99
22,Rawson,0,AR,1585188106,63,-43.3,-65.1,63.34,24.54
23,Alofi,40,NU,1585188064,70,-19.06,-169.92,84.2,11.41
24,Staryy Nadym,100,RU,1585188409,97,65.61,72.68,25.92,18.37
25,Cidreira,46,BR,1585188043,81,-30.18,-50.21,71.2,15.59
26,Hilo,90,US,1585188091,78,19.73,-155.09,71.6,4.7
27,Paita,93,PE,1585188410,76,-5.09,-81.11,76.17,9.71
28,Chokurdakh,15,RU,1585188093,84,70.63,147.92,-14.12,1.25
29,Bluff,95,NZ,1585188081,83,-46.6,168.33,52.16,11.03
30,Daru,65,PG,1585188249,81,-9.08,143.21,83.61,2.46
31,Itarema,100,BR,1585188284,84,-2.92,-39.92,77.23,2.62
32,Hithadhoo,53,MV,1585188038,70,-0.6,73.08,83.32,12.1
33,Batticaloa,100,LK,1585188365,62,7.71,81.69,82.04,5.17
34,Leningradskiy,100,RU,1585188094,92,69.38,178.42,5.59,6.73
35,Moose Factory,90,CA,1585188414,92,51.26,-80.61,21.2,12.75
36,Qaanaaq,100,GL,1585188099,81,77.48,-69.36,4.21,0.67
37,Pisco,75,PE,1585188007,83,-13.7,-76.22,72.0,12.75
38,Lavrentiya,97,RU,1585188058,95,65.58,-171.0,21.97,3.49
39,Naviraí,0,BR,1585188415,75,-23.07,-54.19,67.93,5.01
40,Telêmaco Borba,7,BR,1585188409,74,-24.32,-50.62,59.2,3.02
41,Teo,40,ES,1585188416,93,42.75,-8.5,48.0,3.36
42,Geraldton,0,AU,1585188087,28,-28.77,114.6,93.2,18.34
43,Plettenberg Bay,95,ZA,1585188417,68,-34.05,23.37,59.27,20.51
44,Khovd,0,MN,1585188414,56,48.01,91.64,20.03,2.59
45,Kiryat Gat,77,IL,1585188417,20,31.61,34.76,48.0,4.85
46,Katsuura,13,JP,1585188071,48,35.13,140.3,59.92,8.99
47,Kaeo,64,NZ,1585188223,66,-35.1,173.78,65.23,5.37
48,Santa Maria,99,BR,1585188271,50,-29.68,-53.81,71.31,5.06
49,Kalakamati,50,BW,1585188419,42,-20.59,27.31,66.63,4.99
50,San Quintín,100,MX,1585188125,73,30.48,-115.95,58.82,19.1
51,Hamilton,20,US,1585188084,44,39.18,-84.53,57.2,3.36
52,Ponta do Sol,100,PT,1585188085,69,32.67,-17.1,55.0,1.01
53,Bafia,100,CM,1585188228,81,4.75,11.23,70.57,2.3
54,Chui,90,UY,1585188083,91,-33.7,-53.46,69.67,7.05
55,Butaritari,97,KI,1585188076,80,3.07,172.79,83.05,20.47
56,Tautira,76,PF,1585188421,66,-17.73,-149.15,82.67,2.8
57,Ipueiras,100,BR,1585188422,85,-7.03,-40.45,68.49,2.62
58,Cocu,77,RO,1585188422,72,44.87,24.65,34.45,8.9
59,Narsaq,39,GL,1585188150,81,60.92,-46.05,14.45,8.1
60,Grindavik,75,IS,1585188104,73,63.84,-22.43,32.0,14.99
61,New Norfolk,15,AU,1585188082,47,-42.78,147.06,64.0,1.99
62,Port Augusta,13,AU,1585188424,19,-32.5,137.77,76.75,8.03
63,Bom Jesus,100,BR,1585188424,82,-9.07,-44.36,72.73,1.54
64,Mardin,58,TR,1585188424,66,37.31,40.74,43.99,6.17
65,Avarua,75,CK,1585188056,74,-21.21,-159.78,84.2,12.75
66,Bredasdorp,68,ZA,1585188158,62,-34.53,20.04,57.2,8.05
67,Guadalupe y Calvo,0,MX,1585188425,21,26.1,-106.97,54.72,1.7
68,Vaini,20,TO,1585188057,66,-21.2,-175.2,84.2,10.29
69,Hermanus,53,ZA,1585188062,61,-34.42,19.23,57.97,11.61
70,Njombe,81,TZ,1585188427,57,-9.33,34.77,55.83,1.92
71,George Town,20,MY,1585188071,83,5.41,100.34,86.0,5.82
72,Areia Branca,100,BR,1585188427,86,-4.96,-37.14,77.16,5.73
73,Jamestown,1,US,1585188069,70,42.1,-79.24,44.6,4.7
74,Ürümqi,0,CN,1585188428,53,43.8,87.6,32.0,3.36
75,Huarmey,92,PE,1585188429,78,-10.07,-78.15,74.23,6.98
76,Mahébourg,75,MU,1585188086,88,-20.41,57.7,77.0,11.41
77,La Libertad,80,EC,1585188429,78,-2.23,-80.9,80.6,5.82
78,Acapulco de Juárez,5,MX,1585188229,69,16.86,-99.89,82.4,11.41
79,Taganak,94,PH,1585188430,76,6.08,118.3,82.78,11.07
80,Lebu,0,CL,1585188102,86,-37.62,-73.65,57.18,8.61
81,Tamiahua,0,MX,1585188431,90,21.27,-97.45,75.79,9.26
82,Baku,90,AZ,1585188382,100,40.38,49.89,44.6,16.11
83,Uthal,100,PK,1585188431,40,25.81,66.62,73.99,2.26
84,Ishigaki,40,JP,1585188005,83,24.34,124.16,78.8,12.75
85,Elizabeth City,90,US,1585188432,87,36.29,-76.25,51.8,11.41
86,Saint George,1,US,1585188006,22,37.1,-113.58,64.4,21.92
87,San Jose,40,US,1585188141,50,37.34,-121.89,53.6,14.99
88,Saskylakh,67,RU,1585188109,89,71.92,114.08,-1.64,9.55
89,Ribeira Grande,67,PT,1585188112,66,38.52,-28.7,54.05,11.65
90,Abu Samrah,0,SY,1585188132,75,35.3,37.18,50.13,1.95
91,Ust'-Kan,0,RU,1585188434,77,50.93,84.76,20.23,2.42
92,Thompson,40,CA,1585188108,40,55.74,-97.86,17.6,3.36
93,Hong Kong,53,HK,1585187848,95,22.29,114.16,73.0,1.01
